transaction_id,customer_id,amount,currency,transaction_date,transaction_time,category,payment_method,status,merchant_name,description
TXN000001,CUST164,24.35,USD,2026-01-15,00:47:17,Clothing,Debit Card,Completed,StyleStore,Clothing purchase
TXN000002,CUST008,110.24,USD,2026-01-12,06:14:32,Dining,Check,Completed,FineDining,Payment for dining
TXN000003,CUST002,144.01,USD,2026-04-08,05:44:27,Travel,Auto-Pay,Completed,TravelAgent,Travel service
TXN000004,CUST025,337.68,USD,2026-02-15,11:38:16,Beauty,Check,Completed,BeautySalon,Payment for beauty
TXN000005,CUST161,0.0,USD,2026-03-21,11:36:12,Books,Bank Transfer,Refunded,BookStore,Books transaction
TXN000006,CUST026,59.74,USD,2026-02-18,08:29:40,Home,Bank Transfer,Completed,DesignStudio,Home purchase
TXN000007,CUST156,47.79,USD,2026-03-23,05:34:46,Clothing,Cash,Completed,StyleStore,Clothing purchase
TXN000008,CUST059,137.84,USD,2026-04-16,01:51:20,Health,Auto-Pay,Completed,DoctorClinic,Health service
TXN000009,CUST102,88.59,USD,2026-04-24,20:29:09,Food,Bank Transfer,Completed,PizzaPlace,Food service
TXN000010,CUST150,16.6,USD,2026-02-21,11:14:08,Utilities,Debit Card,Completed,GasCompany,Utilities transaction
TXN000011,CUST175,335.19,USD,2026-02-24,19:04:24,Health,Credit Card,Completed,HealthPlus,Health purchase
TXN000012,CUST175,70.87,USD,2026-04-24,17:48:17,Beauty,Mobile Payment,Completed,SpaRelax,Payment for beauty
TXN000013,CUST129,327.68,USD,2026-04-08,05:32:58,Groceries,Cash,Completed,GroceryPlus,Groceries transaction
TXN000014,CUST139,25.66,USD,2026-04-10,16:58:00,Dining,Auto-Pay,Pending,Bistro,Payment for dining
TXN000015,CUST062,435.61,USD,2026-01-08,07:56:36,Groceries,Digital Wallet,Completed,FreshMart,Groceries service
TXN000016,CUST141,475.12,USD,2026-01-22,08:33:55,Dining,Cash,Completed,TacoTruck,Dining service
TXN000017,CUST172,41.46,USD,2026-03-25,11:28:57,Utilities,Auto-Pay,Completed,GasCompany,Utilities transaction
TXN000018,CUST151,136.76,USD,2026-01-29,00:04:45,Sports,Auto-Pay,Completed,SportsGear,Sports transaction
TXN000019,CUST072,44.02,USD,2026-03-27,15:13:34,Entertainment,Mobile Payment,Completed,TheatreTickets,Entertainment transaction
TXN000020,CUST025,112.07,USD,2026-01-13,21:27:22,Health,Debit Card,Completed,DentalCare,Payment for health
TXN000021,CUST028,49.0,USD,2026-02-01,06:12:34,Education,Cash,Pending,UniversityCourse,Education purchase
TXN000022,CUST114,489.15,USD,2026-04-14,17:06:03,Sports,Cash,Completed,CycleShop,Sports service
TXN000023,CUST124,64.66,USD,2026-01-28,12:57:03,Entertainment,Mobile Payment,Completed,EventTickets,Entertainment service
TXN000024,CUST040,53.9,USD,2026-01-25,09:13:03,Dining,Credit Card,Completed,NoodleHouse,Dining transaction
TXN000025,CUST015,130.65,USD,2026-03-07,02:54:11,Groceries,Check,Completed,MegaMart,Groceries transaction
TXN000026,CUST149,54.29,USD,2026-03-18,01:39:05,Health,Bank Transfer,Completed,HealthPlus,Payment for health
TXN000027,CUST062,140.06,USD,2026-02-03,12:08:42,Sports,Debit Card,Completed,SportsMart,Sports purchase
TXN000028,CUST019,457.74,USD,2026-03-10,06:32:16,Entertainment,Auto-Pay,Completed,GameStore,Entertainment service
TXN000029,CUST140,124.39,USD,2026-04-01,09:39:51,Sports,Bank Transfer,Pending,CycleShop,Sports purchase
TXN000030,CUST035,49.45,USD,2026-02-03,03:56:06,Books,Cash,Completed,AcademicBooks,Books transaction
TXN000031,CUST176,69.3,USD,2026-03-23,08:32:31,Food,Bank Transfer,Completed,CoffeeShop,Payment for food
TXN000032,CUST198,69.88,USD,2026-01-17,20:16:10,Books,Credit Card,Completed,LibraryMember,Books transaction
TXN000033,CUST140,53.16,USD,2026-01-05,11:37:35,Entertainment,Credit Card,Pending,EventTickets,Entertainment transaction
TXN000034,CUST175,292.23,USD,2026-02-01,21:06:22,Beauty,Digital Wallet,Pending,SkinCare,Beauty transaction
