transaction_id,customer_id,amount,category,payment_method,location,timestamp,is_fraud
TXN00000,CUST8270,321.57,health,wallet,Mumbai,2024-01-01 00:00:00,0
TXN00001,CUST1860,269.03212371036176,shopping,netbanking,Chennai,2024-01-01 00:01:00,1
TXN00002,CUST6390,135.88,shopping,netbanking,Chennai,2024-01-01 00:02:00,0
TXN00003,CUST6191,61.74,shopping,upi,Pune,2024-01-01 00:03:00,0
TXN00004,CUST6734,243.72,travel,netbanking,Chennai,2024-01-01 00:04:00,0
TXN00005,CUST7265,324.67,health,card,Mumbai,2024-01-01 00:05:00,0
TXN00006,CUST1466,54.6,travel,netbanking,Mumbai,2024-01-01 00:06:00,0
TXN00007,CUST5426,8.54,travel,netbanking,Delhi,2024-01-01 00:07:00,0
TXN00008,CUST6578,195.57,travel,upi,Chennai,2024-01-01 00:08:00,0
TXN00009,CUST9322,417.2347771847963,electronics,upi,Bangalore,2024-01-01 00:09:00,1
TXN00010,CUST2685,392.6489398344696,health,netbanking,Chennai,2024-01-01 00:10:00,1
TXN00011,CUST1769,206.51,electronics,upi,Mumbai,2024-01-01 00:11:00,0
TXN00012,CUST7949,159.97,electronics,wallet,Delhi,2024-01-01 00:12:00,0
TXN00013,CUST3433,57.69,health,wallet,Chennai,2024-01-01 00:13:00,0
TXN00014,CUST6311,101.41,electronics,wallet,Delhi,2024-01-01 00:14:00,0
TXN00015,CUST6051,111.76,health,netbanking,Chennai,2024-01-01 00:15:00,0
TXN00016,CUST7420,424.47,shopping,card,Pune,2024-01-01 00:16:00,0
TXN00017,CUST2184,648.35,travel,card,Mumbai,2024-01-01 00:17:00,0
TXN00018,CUST5555,446.99,electronics,upi,Mumbai,2024-01-01 00:18:00,0
TXN00019,CUST4385,254.01,health,card,Bangalore,2024-01-01 00:19:00,0
TXN00020,CUST7396,175.89,food,card,Mumbai,2024-01-01 00:20:00,0
TXN00021,CUST9666,233.76,electronics,netbanking,Bangalore,2024-01-01 00:21:00,0
TXN00022,CUST3558,559.73,electronics,upi,Mumbai,2024-01-01 00:22:00,0
TXN00023,CUST8849,57.54,health,card,Chennai,2024-01-01 00:23:00,0
TXN00024,CUST3047,153.2,food,wallet,Chennai,2024-01-01 00:24:00,0
TXN00025,CUST3747,233.98,food,upi,Pune,2024-01-01 00:25:00,0
TXN00026,CUST1189,227.42,shopping,upi,Chennai,2024-01-01 00:26:00,0
TXN00027,CUST3734,58.15,electronics,upi,Delhi,2024-01-01 00:27:00,0
TXN00028,CUST4005,176.73,travel,wallet,Chennai,2024-01-01 00:28:00,0
TXN00029,CUST5658,317.84,electronics,card,Bangalore,2024-01-01 00:29:00,0
TXN00030,CUST2899,128.9,travel,wallet,Pune,2024-01-01 00:30:00,0
TXN00031,CUST8734,315.3,travel,upi,Delhi,2024-01-01 00:31:00,0
TXN00032,CUST2267,89.22,health,upi,Delhi,2024-01-01 00:32:00,0
TXN00033,CUST2528,558.59,electronics,netbanking,Mumbai,2024-01-01 00:33:00,0
TXN00034,CUST4556,152.68,health,netbanking,Bangalore,2024-01-01 00:34:00,0
TXN00035,CUST4890,181.24,shopping,netbanking,Chennai,2024-01-01 00:35:00,0
TXN00036,CUST9838,6.37,travel,netbanking,Chennai,2024-01-01 00:36:00,0
TXN00037,CUST6393,37.33,food,upi,Mumbai,2024-01-01 00:37:00,0
TXN00038,CUST9792,830.3098043155688,travel,wallet,Chennai,2024-01-01 00:38:00,1
TXN00039,CUST9433,108.9,shopping,netbanking,Delhi,2024-01-01 00:39:00,0
TXN00040,CUST8513,141.92,travel,wallet,Chennai,2024-01-01 00:40:00,0
TXN00041,CUST3612,13.01,health,netbanking,Chennai,2024-01-01 00:41:00,0
TXN00042,CUST8041,359.32,electronics,card,Delhi,2024-01-01 00:42:00,0
TXN00043,CUST7235,306.96,food,netbanking,Bangalore,2024-01-01 00:43:00,0
TXN00044,CUST6486,41.0,health,wallet,Bangalore,2024-01-01 00:44:00,0
TXN00045,CUST8099,201.2,electronics,netbanking,Delhi,2024-01-01 00:45:00,0
TXN00046,CUST1775,341.1,food,card,Delhi,2024-01-01 00:46:00,0
TXN00047,CUST9226,204.81,shopping,wallet,Pune,2024-01-01 00:47:00,0
TXN00048,CUST4152,74.33,travel,wallet,Pune,2024-01-01 00:48:00,0
TXN00049,CUST2585,213.49,food,wallet,Chennai,2024-01-01 00:49:00,0
TXN00050,CUST4943,47.26,shopping,upi,Chennai,2024-01-01 00:50:00,0
TXN00051,CUST8555,76.62,electronics,wallet,Pune,2024-01-01 00:51:00,0
TXN00052,CUST4073,54.91,food,upi,Chennai,2024-01-01 00:52:00,0
TXN00053,CUST2021,162.8,shopping,card,Bangalore,2024-01-01 00:53:00,0
TXN00054,CUST4843,22.91,electronics,wallet,Bangalore,2024-01-01 00:54:00,0
TXN00055,CUST8989,541.54,health,wallet,Mumbai,2024-01-01 00:55:00,0
TXN00056,CUST7873,81.15,travel,wallet,Pune,2024-01-01 00:56:00,0
TXN00057,CUST6675,49.43,shopping,card,Bangalore,2024-01-01 00:57:00,0
TXN00058,CUST1161,137.25,health,upi,Mumbai,2024-01-01 00:58:00,0
TXN00059,CUST5297,64.87,electronics,netbanking,Delhi,2024-01-01 00:59:00,0
TXN00060,CUST1995,153.1,food,card,Bangalore,2024-01-01 01:00:00,0
TXN00061,CUST8629,85.7,travel,card,Mumbai,2024-01-01 01:01:00,0
TXN00062,CUST2016,28.33,electronics,card,Chennai,2024-01-01 01:02:00,0
TXN00063,CUST8869,61.82,shopping,upi,Mumbai,2024-01-01 01:03:00,0
